ID,neg_llh,r2,AIC,BIC,b,beta,test_acc
71LLEFLB,30.54221511274454,0.11873795438159007,65.08443022548909,68.90847623634536,-1.0,0.8473169041889058,0.7
78KLS8FR,25.01912118690926,0.27810075872492035,54.03824237381852,57.86228838467481,-1.0,1.3863318721184619,0.8
KNERI0ML,13.937468598433902,0.5978496634098751,31.874937196867805,35.6989832077241,-1.0,2.4424595787056473,0.92
9CKX44CO,26.344398081568897,0.23986135065031666,56.688796163137795,60.51284217399409,-1.0,1.2656989498265312,0.78
SCZ5DPG9,8.39620739671785,0.7577366645295984,20.7924147934357,24.616460804291993,-1.0,3.178290321330927,0.96
B2CFWWQJ,30.542215112744543,0.11873795438158996,65.08443022548909,68.90847623634538,-1.0,0.8473168828036721,0.7
R7G6H8LP,24.084051533337856,0.24465344105085307,52.16810306667571,55.825385859653906,-1.0,1.280966987154845,0.782608695652174
H04ZVH49,32.66990974968501,0.057345664356788784,69.33981949937002,73.16386551022632,-1.0,0.575376196707197,0.64
EYV4366S,32.71795256319355,0.03669330793959824,69.4359051263871,73.21954572260834,-1.0,0.45676782845407726,0.6122448979591837
Z1VJ15F0,18.345249573635353,0.4706679883249181,40.69049914727071,44.514545158127,-1.0,1.9925021725778111,0.88
5B9N6IL8,26.34439808156889,0.23986135065031688,56.68879616313778,60.51284217399407,-1.0,1.2656990254099825,0.78
PAWXOLHN,27.55299641435232,0.20498857422765038,59.10599282870464,62.930038839560936,-1.0,1.152707104552206,0.76
XYWQCXF1,20.247174263196825,0.4157900419694258,44.49434852639365,48.318394537249944,-1.0,1.8153496680465235,0.86
8R5PPMRT,31.342472888621188,0.09564739588778859,66.68494577724238,70.50899178809867,-1.0,0.7537883146281456,0.68
BKRUDJZS,28.6518458665712,0.17328248111965572,61.3036917331424,65.1277377439987,-1.0,1.0459932479136338,0.74
06TCS2X1,32.050773904057735,0.07521014863925013,68.10154780811547,71.92559381897176,0.6750845540378563,0.9825559640997977,0.66
